incd
Incidence Rate Report for Mississippi by County,,,,,,,,,,,,,
County,FIPS,2023 Rural-Urban Continuum Codes,Age-Adjusted Incidence Rate,Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank,Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Quitman County,28119,Rural,621.8,544.9,707.3,1,1,25,51,rising,2.2,0.7,3.7
Covington County,28031,Rural,560.1,516.7,606.4,2,1,31,129,rising,1.5,0.5,2.5
Coahoma County,28027,Rural,554.2,512.3,598.7,3,1,36,141,stable,-0.2,-5.9,1.6
Holmes County,28051,Urban,540.9,494.9,590.2,4,1,49,109,stable,0.0,-1.1,1.2
Humphreys County,28053,Rural,538.7,473.1,611.4,5,1,66,53,stable,-0.7,-9.7,2.9
Tunica County,28143,Urban,538.5,474.1,609.3,6,1,70,56,stable,-1.0,-3.6,0.2
Sharkey County,28125,Rural,537.6,445.5,644.3,7,1,81,28,stable,0.4,-2.2,2.8
Issaquena County,28055,Rural,532.4,373.5,746.3,8,1,82,8,stable,2.7,-15.9,18.8
Tishomingo County,28141,Rural,528.6,488.8,570.9,9,1,49,144,falling,-6.8,-11.2,-2.9
Pontotoc County,28115,Rural,525.8,492.2,561.2,10,2,44,191,stable,0.7,-0.2,1.7
Itawamba County,28057,Rural,521.7,485.6,560.1,11,2,53,161,stable,-0.3,-1.2,0.7
Chickasaw County,28017,Rural,521,478.7,566.2,12,2,59,119,stable,0.3,-1.0,1.6
Grenada County,28043,Rural,519.8,481.2,560.9,13,2,55,145,stable,0.2,-0.7,1.1
Lee County,28081,Rural,517.9,497.5,539,14,4,35,506,stable,0.8,-0.1,2.9
Smith County,28129,Rural,517.6,472.6,566.2,15,1,63,105,stable,-5.3,-12.0,0.9
Monroe County,28095,Rural,516,486.1,547.3,16,2,49,242,stable,0.7,-0.1,1.5
Yalobusha County,28161,Rural,512.6,464.3,565,17,2,68,92,stable,0.3,-0.8,1.4
Forrest County,28035,Urban,511.5,489.2,534.5,18,5,44,414,stable,0.2,-0.5,0.8
